ciselnik,ciselnik_kod,ciselnik_nazev,vek_IRI,vek_kod,vek_nazev,vek_od_vcetne,vek_do_vcetne
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66013013",66013013,"13 let",13,13
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66014014",66014014,"14 let",14,14
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66015015",66015015,"15 let",15,15
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66015019",66015019,"15–19 let",15,19
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66015021",66015021,"15–21 let",15,21
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66015064",66015064,"15–64 let",15,64
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66016016",66016016,"16 let",16,16
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66016017",66016017,"16–17 let",16,17
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66017017",66017017,"17 let",17,17
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66017021",66017021,"17–21 let",17,21
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66018018",66018018,"18 let",18,18
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66018019",66018019,"18–19 let",18,19
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66018024",66018024,"18–24 let",18,24
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66018025",66018025,"18–25 let",18,25
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66018039",66018039,"18–39 let",18,39
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66018999",66018999,"18 let a více",18,999
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66019019",66019019,"19 let",19,19
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66020020",66020020,"20 let",20,20
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66020024",66020024,"20–24 let",20,24
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66020029",66020029,"20–29 let",20,29
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66020034",66020034,"20–34 let",20,34
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66020039",66020039,"20–39 let",20,39
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66020044",66020044,"20–44 let",20,44
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66020064",66020064,"20–64 let",20,64
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66020999",66020999,"20 let a více",20,999
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66021021",66021021,"21 let",21,21
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66022022",66022022,"22 let",22,22
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66022026",66022026,"22–26 let",22,26
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66023023",66023023,"23 let",23,23
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66024024",66024024,"24 let",24,24
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66025025",66025025,"25 let",25,25
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66025029",66025029,"25–29 let",25,29
"https://data.mzd.gov.cz/data/číselníky/CIS001","CIS001","Číselník věkových skupin NZIS","https://data.mzd.gov.cz/data/číselníky/CIS001/66025034",66025034,"25–34 let",25,34
