"rok,""pohlavi"",""vek_kod"",""kraj_bydliste"",""okres_bydliste"",""prevalence_hypertenze"""
"2011,1,66010014,""CZ051"",""CZ0512"",1"
"2011,1,66010014,""CZ051"",""CZ0513"",3"
"2011,1,66010014,""CZ051"",""CZ0514"",1"
"2011,1,66010014,""CZ052"",""CZ0521"",3"
"2011,1,66010014,""CZ052"",""CZ0522"",0"
"2011,1,66010014,""CZ052"",""CZ0523"",4"
"2011,1,66010014,""CZ052"",""CZ0524"",0"
"2011,1,66010014,""CZ052"",""CZ0525"",0"
"2011,1,66010014,""CZ053"",""CZ0531"",3"
"2011,1,66010014,""CZ053"",""CZ0532"",8"
"2011,1,66010014,""CZ053"",""CZ0533"",0"
"2011,1,66010014,""CZ053"",""CZ0534"",6"
"2011,1,66010014,""CZ063"",""CZ0631"",2"
"2011,1,66010014,""CZ063"",""CZ0632"",0"
"2011,1,66010014,""CZ063"",""CZ0633"",0"
"2011,1,66010014,""CZ063"",""CZ0634"",5"
"2011,1,66010014,""CZ063"",""CZ0635"",2"
"2011,1,66010014,""CZ064"",""CZ0641"",1"
"2011,1,66010014,""CZ064"",""CZ0642"",0"
"2011,1,66010014,""CZ064"",""CZ0643"",1"
"2011,1,66010014,""CZ064"",""CZ0644"",5"
"2011,1,66010014,""CZ064"",""CZ0645"",1"
"2011,1,66010014,""CZ064"",""CZ0646"",1"
"2011,1,66010014,""CZ064"",""CZ0647"",0"
"2011,1,66010014,""CZ071"",""CZ0711"",2"
"2011,1,66010014,""CZ071"",""CZ0712"",5"
"2011,1,66010014,""CZ071"",""CZ0713"",1"
"2011,1,66010014,""CZ071"",""CZ0714"",0"
"2011,1,66010014,""CZ071"",""CZ0715"",4"
"2011,1,66010014,""CZ072"",""CZ0721"",3"
"2011,1,66010014,""CZ072"",""CZ0722"",3"
"2011,1,66010014,""CZ072"",""CZ0723"",3"
"2011,1,66010014,""CZ072"",""CZ0724"",3"
"2011,1,66010014,""CZ080"",""CZ0801"",1"
"2011,1,66010014,""CZ080"",""CZ0802"",7"
"2011,1,66010014,""CZ080"",""CZ0803"",3"
"2011,1,66010014,""CZ080"",""CZ0804"",5"
"2011,1,66010014,""CZ080"",""CZ0805"",6"
"2011,1,66010014,""CZ080"",""CZ0806"",18"
"2011,1,66010014,""CZ099"",""CZ0999"",2"
"2011,1,66015019,""CZ010"",""CZ0100"",123"
"2011,1,66015019,""CZ020"",""CZ0201"",24"
"2011,1,66015019,""CZ020"",""CZ0202"",17"
"2011,1,66015019,""CZ020"",""CZ0203"",12"
"2011,1,66015019,""CZ020"",""CZ0204"",18"
"2011,1,66015019,""CZ020"",""CZ0205"",13"
"2011,1,66015019,""CZ020"",""CZ0206"",8"
"2011,1,66015019,""CZ020"",""CZ0207"",15"
"2011,1,66015019,""CZ020"",""CZ0208"",13"
"2011,1,66015019,""CZ020"",""CZ0209"",19"
"2011,1,66015019,""CZ020"",""CZ020A"",7"
"2011,1,66015019,""CZ020"",""CZ020B"",37"
"2011,1,66015019,""CZ020"",""CZ020C"",7"
"2011,1,66015019,""CZ031"",""CZ0311"",22"
"2011,1,66015019,""CZ031"",""CZ0312"",8"
"2011,1,66015019,""CZ031"",""CZ0313"",15"
"2011,1,66015019,""CZ031"",""CZ0314"",9"
"2011,1,66015019,""CZ031"",""CZ0315"",10"
"2011,1,66015019,""CZ031"",""CZ0316"",15"
"2011,1,66015019,""CZ031"",""CZ0317"",11"
"2011,1,66015019,""CZ032"",""CZ0321"",12"
"2011,1,66015019,""CZ032"",""CZ0322"",14"
"2011,1,66015019,""CZ032"",""CZ0323"",24"
"2011,1,66015019,""CZ032"",""CZ0324"",7"
"2011,1,66015019,""CZ032"",""CZ0325"",15"
"2011,1,66015019,""CZ032"",""CZ0326"",7"
"2011,1,66015019,""CZ032"",""CZ0327"",8"
"2011,1,66015019,""CZ041"",""CZ0411"",15"
"2011,1,66015019,""CZ041"",""CZ0412"",15"
"2011,1,66015019,""CZ041"",""CZ0413"",13"
"2011,1,66015019,""CZ042"",""CZ0421"",77"
"2011,1,66015019,""CZ042"",""CZ0422"",17"
"2011,1,66015019,""CZ042"",""CZ0423"",45"
"2011,1,66015019,""CZ042"",""CZ0424"",20"
"2011,1,66015019,""CZ042"",""CZ0425"",26"
"2011,1,66015019,""CZ042"",""CZ0426"",64"
"2011,1,66015019,""CZ042"",""CZ0427"",138"
"2011,1,66015019,""CZ051"",""CZ0511"",14"
"2011,1,66015019,""CZ051"",""CZ0512"",21"
"2011,1,66015019,""CZ051"",""CZ0513"",13"
"2011,1,66015019,""CZ051"",""CZ0514"",7"
"2011,1,66015019,""CZ052"",""CZ0521"",18"
"2011,1,66015019,""CZ052"",""CZ0522"",7"
"2011,1,66015019,""CZ052"",""CZ0523"",27"
"2011,1,66015019,""CZ052"",""CZ0524"",16"
"2011,1,66015019,""CZ052"",""CZ0525"",11"
"2011,1,66015019,""CZ053"",""CZ0531"",30"
"2011,1,66015019,""CZ053"",""CZ0532"",45"
"2011,1,66015019,""CZ053"",""CZ0533"",11"
"2011,1,66015019,""CZ053"",""CZ0534"",24"
"2011,1,66015019,""CZ063"",""CZ0631"",16"
"2011,1,66015019,""CZ063"",""CZ0632"",4"
"2011,1,66015019,""CZ063"",""CZ0633"",7"
"2011,1,66015019,""CZ063"",""CZ0634"",26"
"2011,1,66015019,""CZ063"",""CZ0635"",24"
"2011,1,66015019,""CZ064"",""CZ0641"",13"
"2011,1,66015019,""CZ064"",""CZ0642"",28"
"2011,1,66015019,""CZ064"",""CZ0643"",18"
"2011,1,66015019,""CZ064"",""CZ0644"",24"
"2011,1,66015019,""CZ064"",""CZ0645"",28"
"2011,1,66015019,""CZ064"",""CZ0646"",17"
"2011,1,66015019,""CZ064"",""CZ0647"",12"
"2011,1,66015019,""CZ071"",""CZ0711"",2"
"2011,1,66015019,""CZ071"",""CZ0712"",36"
"2011,1,66015019,""CZ071"",""CZ0713"",17"
"2011,1,66015019,""CZ071"",""CZ0714"",9"
"2011,1,66015019,""CZ071"",""CZ0715"",19"
"2011,1,66015019,""CZ072"",""CZ0721"",20"
"2011,1,66015019,""CZ072"",""CZ0722"",18"
"2011,1,66015019,""CZ072"",""CZ0723"",25"
"2011,1,66015019,""CZ072"",""CZ0724"",26"
"2011,1,66015019,""CZ080"",""CZ0801"",10"
"2011,1,66015019,""CZ080"",""CZ0802"",22"
"2011,1,66015019,""CZ080"",""CZ0803"",36"
"2011,1,66015019,""CZ080"",""CZ0804"",37"
"2011,1,66015019,""CZ080"",""CZ0805"",52"
"2011,1,66015019,""CZ080"",""CZ0806"",68"
"2011,1,66015019,""CZ099"",""CZ0999"",14"
"2011,1,66020024,""CZ010"",""CZ0100"",347"
"2011,1,66020024,""CZ020"",""CZ0201"",36"
"2011,1,66020024,""CZ020"",""CZ0202"",30"
"2011,1,66020024,""CZ020"",""CZ0203"",34"
"2011,1,66020024,""CZ020"",""CZ0204"",44"
"2011,1,66020024,""CZ020"",""CZ0205"",37"
"2011,1,66020024,""CZ020"",""CZ0206"",46"
"2011,1,66020024,""CZ020"",""CZ0207"",36"
"2011,1,66020024,""CZ020"",""CZ0208"",28"
"2011,1,66020024,""CZ020"",""CZ0209"",59"
"2011,1,66020024,""CZ020"",""CZ020A"",26"
"2011,1,66020024,""CZ020"",""CZ020B"",32"
"2011,1,66020024,""CZ020"",""CZ020C"",10"
"2011,1,66020024,""CZ031"",""CZ0311"",58"
"2011,1,66020024,""CZ031"",""CZ0312"",20"
"2011,1,66020024,""CZ031"",""CZ0313"",27"
"2011,1,66020024,""CZ031"",""CZ0314"",11"
"2011,1,66020024,""CZ031"",""CZ0315"",18"
"2011,1,66020024,""CZ031"",""CZ0316"",23"
"2011,1,66020024,""CZ031"",""CZ0317"",27"
"2011,1,66020024,""CZ032"",""CZ0321"",27"
"2011,1,66020024,""CZ032"",""CZ0322"",24"
"2011,1,66020024,""CZ032"",""CZ0323"",48"
"2011,1,66020024,""CZ032"",""CZ0324"",15"
"2011,1,66020024,""CZ032"",""CZ0325"",35"
"2011,1,66020024,""CZ032"",""CZ0326"",32"
"2011,1,66020024,""CZ032"",""CZ0327"",22"
"2011,1,66020024,""CZ041"",""CZ0411"",25"
"2011,1,66020024,""CZ041"",""CZ0412"",32"
"2011,1,66020024,""CZ041"",""CZ0413"",21"
"2011,1,66020024,""CZ042"",""CZ0421"",87"
"2011,1,66020024,""CZ042"",""CZ0422"",25"
"2011,1,66020024,""CZ042"",""CZ0423"",45"
"2011,1,66020024,""CZ042"",""CZ0424"",33"
"2011,1,66020024,""CZ042"",""CZ0425"",35"
"2011,1,66020024,""CZ042"",""CZ0426"",42"
"2011,1,66020024,""CZ042"",""CZ0427"",113"
"2011,1,66020024,""CZ051"",""CZ0511"",32"
"2011,1,66020024,""CZ051"",""CZ0512"",28"
"2011,1,66020024,""CZ051"",""CZ0513"",53"
"2011,1,66020024,""CZ051"",""CZ0514"",10"
"2011,1,66020024,""CZ052"",""CZ0521"",51"
"2011,1,66020024,""CZ052"",""CZ0522"",19"
"2011,1,66020024,""CZ052"",""CZ0523"",41"
"2011,1,66020024,""CZ052"",""CZ0524"",23"
"2011,1,66020024,""CZ052"",""CZ0525"",20"
"2011,1,66020024,""CZ053"",""CZ0531"",57"
"2011,1,66020024,""CZ053"",""CZ0532"",86"
"2011,1,66020024,""CZ053"",""CZ0533"",35"
"2011,1,66020024,""CZ053"",""CZ0534"",39"
"2011,1,66020024,""CZ063"",""CZ0631"",44"
"2011,1,66020024,""CZ063"",""CZ0632"",32"
"2011,1,66020024,""CZ063"",""CZ0633"",28"
"2011,1,66020024,""CZ063"",""CZ0634"",37"
"2011,1,66020024,""CZ063"",""CZ0635"",48"
"2011,1,66020024,""CZ064"",""CZ0641"",37"
"2011,1,66020024,""CZ064"",""CZ0642"",108"
"2011,1,66020024,""CZ064"",""CZ0643"",72"
"2011,1,66020024,""CZ064"",""CZ0644"",49"
"2011,1,66020024,""CZ064"",""CZ0645"",44"
"2011,1,66020024,""CZ064"",""CZ0646"",39"
"2011,1,66020024,""CZ064"",""CZ0647"",54"
"2011,1,66020024,""CZ071"",""CZ0711"",13"
"2011,1,66020024,""CZ071"",""CZ0712"",101"
"2011,1,66020024,""CZ071"",""CZ0713"",43"
"2011,1,66020024,""CZ071"",""CZ0714"",44"
"2011,1,66020024,""CZ071"",""CZ0715"",29"
"2011,1,66020024,""CZ072"",""CZ0721"",44"
"2011,1,66020024,""CZ072"",""CZ0722"",66"
"2011,1,66020024,""CZ072"",""CZ0723"",72"
"2011,1,66020024,""CZ072"",""CZ0724"",45"
"2011,1,66020024,""CZ080"",""CZ0801"",36"
"2011,1,66020024,""CZ080"",""CZ0802"",75"
"2011,1,66020024,""CZ080"",""CZ0803"",73"
"2011,1,66020024,""CZ080"",""CZ0804"",62"
"2011,1,66020024,""CZ080"",""CZ0805"",68"
"2011,1,66020024,""CZ080"",""CZ0806"",132"
"2011,1,66020024,""CZ099"",""CZ0999"",27"
"2011,1,66025029,""CZ010"",""CZ0100"",691"
"2011,1,66025029,""CZ020"",""CZ0201"",76"
"2011,1,66025029,""CZ020"",""CZ0202"",68"
"2011,1,66025029,""CZ020"",""CZ0203"",77"
"2011,1,66025029,""CZ020"",""CZ0204"",67"
"2011,1,66025029,""CZ020"",""CZ0205"",47"
"2011,1,66025029,""CZ020"",""CZ0206"",61"
"2011,1,66025029,""CZ020"",""CZ0207"",93"
"2011,1,66025029,""CZ020"",""CZ0208"",47"
"2011,1,66025029,""CZ020"",""CZ0209"",112"
"2011,1,66025029,""CZ020"",""CZ020A"",67"
"2011,1,66025029,""CZ020"",""CZ020B"",57"
"2011,1,66025029,""CZ020"",""CZ020C"",42"
"2011,1,66025029,""CZ031"",""CZ0311"",103"
"2011,1,66025029,""CZ031"",""CZ0312"",28"
"2011,1,66025029,""CZ031"",""CZ0313"",38"
"2011,1,66025029,""CZ031"",""CZ0314"",45"
"2011,1,66025029,""CZ031"",""CZ0315"",36"
"2011,1,66025029,""CZ031"",""CZ0316"",45"
"2011,1,66025029,""CZ031"",""CZ0317"",58"
"2011,1,66025029,""CZ032"",""CZ0321"",28"
"2011,1,66025029,""CZ032"",""CZ0322"",43"
"2011,1,66025029,""CZ032"",""CZ0323"",127"
"2011,1,66025029,""CZ032"",""CZ0324"",38"
"2011,1,66025029,""CZ032"",""CZ0325"",55"
"2011,1,66025029,""CZ032"",""CZ0326"",21"
"2011,1,66025029,""CZ032"",""CZ0327"",25"
"2011,1,66025029,""CZ041"",""CZ0411"",49"
"2011,1,66025029,""CZ041"",""CZ0412"",43"
"2011,1,66025029,""CZ041"",""CZ0413"",35"
"2011,1,66025029,""CZ042"",""CZ0421"",91"
"2011,1,66025029,""CZ042"",""CZ0422"",35"
